DEVICE_ID,LAT_DEGREE,LONGITUDE,IST_DATE
150218093,12.977554,77.57338,2016-07-01 00:00:22
150218093,12.977554,77.57338,2016-07-01 00:00:02
150218093,12.977554,77.57338,2016-07-01 00:00:12
150218093,12.977554,77.57338,2016-07-01 00:00:32
150218093,12.977554,77.57338,2016-07-01 00:00:42
150218093,12.977554,77.57338,2016-07-01 00:00:52
150218093,12.977554,77.57338,2016-07-01 00:01:02
150218093,12.977554,77.57338,2016-07-01 00:01:13
150218093,12.977554,77.57338,2016-07-01 00:01:23
150218093,12.977554,77.57338,2016-07-01 00:01:33
150218093,12.977554,77.57338,2016-07-01 00:01:42
150218093,12.977554,77.57338,2016-07-01 00:01:52
150218093,12.977554,77.57338,2016-07-01 00:02:02
150218093,12.977554,77.57338,2016-07-01 00:02:12
150218093,12.977554,77.57338,2016-07-01 00:02:22
150218093,12.977554,77.57338,2016-07-01 00:02:32
150218093,12.977554,77.57338,2016-07-01 00:02:42
150218093,12.977554,77.57338,2016-07-01 00:02:52
150218093,12.977554,77.57338,2016-07-01 00:03:02
150218093,12.977554,77.57338,2016-07-01 00:03:12
150218093,12.977554,77.57338,2016-07-01 00:03:22
150218093,12.977554,77.57338,2016-07-01 00:03:32
150218093,12.977554,77.57338,2016-07-01 00:03:42
150218093,12.977554,77.57338,2016-07-01 00:03:52
150218093,12.977554,77.57338,2016-07-01 00:04:02
150218093,12.977554,77.57338,2016-07-01 00:04:12
150218093,12.977554,77.57338,2016-07-01 00:04:22
150218093,12.977554,77.57338,2016-07-01 00:04:31
150218093,12.977554,77.57338,2016-07-01 00:04:41
150218093,12.977554,77.57338,2016-07-01 00:04:51
150218093,12.977554,77.57338,2016-07-01 00:05:01
150218093,12.977554,77.57338,2016-07-01 00:05:11
150218093,12.977554,77.57338,2016-07-01 00:05:21
150218093,12.977554,77.57338,2016-07-01 00:05:31
150218093,12.977554,77.57338,2016-07-01 00:05:41
150218093,12.977554,77.57338,2016-07-01 00:05:51
